Leadership,Empathy,Strategic,Creativity,Resilience,timestamp
100,95,100,100,95,2025-06-13 04:00:07
46,70,82,77,61,2025-06-13 04:02:00
63,83,88,77,68,2025-06-13 04:04:24
81,94,95,78,85,2025-06-13 04:07:59
56,79,88,83,82,2025-06-13 04:10:21
73,80,92,80,72,2025-06-13 04:12:32
60,86,85,91,83,2025-06-13 04:17:40
96,92,97,71,85,2025-06-13 04:20:33
56,72,91,63,66,2025-06-13 04:23:06
70,75,87,73,74,2025-06-13 04:34:57
100,40,0,0,40,2025-06-13 04:37:21
60,40,0,0,40,2025-06-13 04:37:35
63,84,91,82,85,2025-06-13 04:39:33
80,69,84,70,81,2025-06-13 04:41:52
100,95,99,100,90,2025-06-13 04:43:58
67,69,89,73,72,2025-06-13 04:49:05
73,87,91,73,72,2025-06-13 04:51:49
63,67,87,67,67,2025-06-13 04:54:50
63,68,84,72,64,2025-06-13 05:01:45
71,79,90,78,89,2025-06-13 05:04:59
89,93,99,87,95,2025-06-13 05:41:25
79,88,87,73,87,2025-06-13 21:30:23
54,74,83,65,76,2025-06-13 21:38:41
56,72,83,72,78,2025-06-13 21:47:01
57,78,84,70,79,2025-06-13 21:59:58
76,83,90,83,74,2025-06-13 22:18:40
