Leadership,Empathy & Social Skills,Strategic Thinking & Problem-Solving,Creativity & Innovation,Resilience & Adaptability,Job Role Category,Vector Value for ML
71.88,46.15,94.28,75,56,Creation and Development,0
78.12,26.92,97.14,89.28,52,Creation and Development,0
65.62,42.31,94.28,82.41,56,Creation and Development,0
65.62,50,85.71,92.85,76,Creation and Development,0
81.25,34.62,97.14,78.57,48,Creation and Development,0
93.75,46.15,82.85,89.28,56,Creation and Development,0
87.5,38.46,94.28,85.71,52,Creation and Development,0
81.25,42.31,77.14,92.85,60,Creation and Development,0
78.12,46.15,91.42,78.57,40,Creation and Development,0
81.25,26.92,62.85,89.28,76,Creation and Development,0
71.88,42.31,77.14,75,48,Creation and Development,0
87.5,50,94.28,78.57,56,Creation and Development,0
81.25,34.62,97.14,85.71,52,Creation and Development,0
75,46.15,80,75,44,Creation and Development,0
90.62,38.46,88,78.57,60,Creation and Development,0
65.62,46.15,97.14,85.71,60,Creation and Development,0
71.88,65.38,85.71,82.41,80,Creation and Development,0
65.62,50,82.85,92.85,56,Creation and Development,0
59.38,61.53,77.14,92.85,32,Creation and Development,0
90.62,50,91.42,71.43,44,Creation and Development,0
68.75,46.15,94.28,78.57,76,Creation and Development,0
84.38,69.23,80,89.28,56,Creation and Development,0
90.62,26.92,77.14,85.71,52,Creation and Development,0
75,42.31,88,92.85,60,Creation and Development,0
81.25,50,77.14,78.57,40,Creation and Development,0
87.5,34.62,91.42,89.28,76,Creation and Development,0
81.25,46.15,97.14,75,44,Planning and Administration,1
93.75,26.92,80,53.57,28,Planning and Administration,1
87.5,42.31,88,75,32,Planning and Administration,1
81.25,50,97.14,60.71,36,Planning and Administration,1
78.12,34.62,85.71,46.42,40,Planning and Administration,1
84.38,46.15,82.85,57.14,56,Planning and Administration,1
84.38,38.46,62.85,82.14,20,Planning and Administration,1
75,46.15,65.71,71.43,32,Planning and Administration,1
90.62,65.38,88.57,64.29,60,Planning and Administration,1
81.25,50,80,67.85,40,Planning and Administration,1
93.75,61.53,82.85,71.43,48,Planning and Administration,1
87.5,50,94.28,46.42,52,Planning and Administration,1
81.25,69.23,77.14,57.14,76,Planning and Administration,1
78.12,46.15,91.42,46.42,20,Planning and Administration,1
81.25,26.92,62.85,75,32,Planning and Administration,1
93.75,42.31,77.14,42.85,56,Planning and Administration,1
87.5,50,94.28,53.57,40,Planning and Administration,1
81.25,34.62,97.14,42.85,60,Planning and Administration,1
78.12,46.15,80,75,48,Planning and Administration,1
90.62,38.46,88,46.42,88,Planning and Administration,1
93.15,42.31,97.14,75,52,Planning and Administration,1
90.62,61.53,85.71,60.71,80,Planning and Administration,1
81.25,69.23,82.85,67.85,52,Planning and Administration,1
87.5,65.38,77.14,57.14,40,Planning and Administration,1
90.62,42.31,91.42,64.29,32,Planning and Administration,1
81.25,69.23,94.28,46.42,28,Planning and Administration,1
40.62,88.46,65.71,75,80,Management and Sales,2
65.62,96.15,68.57,67.85,76,Management and Sales,2
71.88,84.61,71.42,75,84,Management and Sales,2
75,88.46,62.85,85.71,96,Management and Sales,2
53.13,96.15,54.29,75,76,Management and Sales,2
65.62,92.3,57.14,67.85,52,Management and Sales,2
71.88,88.46,68.57,85.71,48,Management and Sales,2
65.62,84.61,65.71,78.57,56,Management and Sales,2
59.38,80.76,68.57,92.85,76,Management and Sales,2
40.62,88.46,77.14,75,88,Management and Sales,2
59.38,76.92,88,67.85,92,Management and Sales,2
37.5,92.3,57.14,75,96,Management and Sales,2
40.62,84.61,82.85,89.28,80,Management and Sales,2
46.88,80.76,68.57,85.71,56,Management and Sales,2
71.88,76.92,74.28,57.14,52,Management and Sales,2
53.13,80.76,77.14,75,56,Management and Sales,2
46.88,88.46,57.14,67.85,76,Management and Sales,2
34.38,84.61,71.42,75,80,Management and Sales,2
37.5,96.15,62.85,60.71,88,Management and Sales,2
59.38,76.92,54.29,75,48,Management and Sales,2
34.38,88.46,68.57,82.14,52,Management and Sales,2
37.5,96.15,57.14,67.85,76,Management and Sales,2
40.62,92.3,74.28,57.14,60,Management and Sales,2
53.13,88.46,57.14,60.71,60,Management and Sales,2
34.38,84.61,74.28,89.28,40,Management and Sales,2
56.25,76.92,68.57,82.14,76,Management and Sales,2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
