Leadership,Empathy & Social Skills,Strategic Thinking & Problem-Solving,Creativity & Innovation,Resilience & Adaptability,Job Role Category,Vector Value for ML
62.25,43.77,72.76,81.73,59.87,Creation and Development,0
56.07,41.11,71.59,84.96,53.57,Creation and Development,0
58.41,36.17,81.69,81.98,52.94,Creation and Development,0
58.64,39.27,87.59,81.73,58.03,Creation and Development,0
53.15,38.51,75.52,83.68,53.85,Creation and Development,0
71.2,49.22,89.16,75.85,50.07,Creation and Development,0
55.71,42.51,75.87,82.21,54.27,Creation and Development,0
61.89,37.22,87.08,92.16,50.33,Creation and Development,0
67.77,33.61,78.54,94.72,60.07,Creation and Development,0
55.29,43.74,97.25,90.99,46.78,Creation and Development,0
52.93,37.86,98.5,91.39,48.28,Creation and Development,0
52.83,48.24,97.32,95.06,63.62,Creation and Development,0
69.49,33.92,81.93,97.29,51.23,Creation and Development,0
55.73,33.81,86.72,91.67,56.57,Creation and Development,0
65.84,37.98,75.44,90.36,49.71,Creation and Development,0
64.74,35.63,89.42,97.26,57.56,Creation and Development,0
58.94,41.96,75.28,81.02,50.5,Creation and Development,0
58.36,37.41,90.66,94.02,64.24,Creation and Development,0
53.27,48.87,75.52,95.58,56.13,Creation and Development,0
56.65,46.14,84.15,97.62,69.77,Creation and Development,0
58.4,39.93,79.1,80.6,46.15,Creation and Development,0
62.8,39.07,93.1,88.55,66.19,Creation and Development,0
63.52,33.8,75.83,96.37,68.37,Creation and Development,0
65.33,40.85,78.4,79.32,59.39,Creation and Development,0
72.47,43.68,78.58,90.61,71.88,Creation and Development,0
55.15,42.38,73.69,96.05,54.26,Creation and Development,0
66.97,35.86,90.09,96.25,51.5,Creation and Development,0
68.67,48.54,83.82,99.55,62.98,Creation and Development,0
65.4,34.45,87.47,89.5,52.55,Creation and Development,0
46.92,42.47,70.18,90.81,54.95,Creation and Development,0
52.24,41.86,85.67,88.67,58.79,Creation and Development,0
54.69,38.93,86.41,84.59,51.32,Creation and Development,0
